ExerciseID,Software,Topic,Level,Exercise,Number
1,SQL,Using SQL Server,Relatively easy,Use a script to create the Wise Owl Music database which you can then use to complete a range of other exercises.,5257
2,SQL,Simple Queries,Relatively easy,"Create a query to list out all of the events in the database, with the most recent first.",4100
3,SQL,Simple Queries,Relatively easy,Create a query using TOP N to show the last 3 categories in a table.,4101
4,SQL,Simple Queries,Relatively easy,Write a basic SQL Select statement to return an ordered list of musical artists.,5150
5,SQL,Simple Queries,Average difficulty,Create a query to list the first 5 events in chronological order.,4102
6,SQL,Simple Queries,Average difficulty,"Select and sort a list of albums, showing the top items for different columns.",5151
7,SQL,Simple Queries,Harder than average,Run two SELECT queries to show the first and last events.,4103
8,SQL,Simple Queries,Harder than average,"Write SQL queries to select and sort a list of venues, showing the top items for different columns.",5152
9,SQL,Setting criteria using WHERE,Relatively easy,Add criteria to a SQL query to show singles released on different dates.,5157
10,SQL,Setting criteria using WHERE,Relatively easy,Create a query to list all of the love and relationships events.,4104
11,SQL,Setting criteria using WHERE,Relatively easy,Use the WHERE clause in a SQL query to return lists of albums filtered by different criteria.,5153
12,SQL,Setting criteria using WHERE,Relatively easy,Use the WHERE clause in a SQL query to test conditions on text fields for a list of music albums.,5161
13,SQL,Setting criteria using WHERE,Average difficulty,Use a WHERE clause to show events which contain two given text strings.,4105
14,SQL,Setting criteria using WHERE,Average difficulty,Use a WHERE clause to show all of the events between two given dates.,4106
15,SQL,Setting criteria using WHERE,Average difficulty,Use the LIKE operator and wildcard characters in the WHERE clause of a SQL query to return a list of live music venues.,5163
16,SQL,Setting criteria using WHERE,Average difficulty,Use the WHERE clause in a SQL query to apply criteria to various date fields in a table of live music venues.,5159
17,SQL,Setting criteria using WHERE,Average difficulty,Use the WHERE clause in SQL queries to combine criteria and filter a list of albums.,5154
18,SQL,Setting criteria using WHERE,Average difficulty,Write SQL queries using the WHERE clause to test for the existence of NULL in a list of music albums.,5155
19,SQL,Setting criteria using WHERE,Harder than average,3 challenging queries combining criteria to find possible data anomalies.,4107
20,SQL,Setting criteria using WHERE,Harder than average,"Use wildcards, AND, IN and OR to get a list of events to do with water.",4108
21,SQL,Calculations,Relatively easy,Add basic expressions to an SQL query to calculate new values from existing columns in a table.,5170
22,SQL,Calculations,Relatively easy,Create calculated columns in SQL queries which concatenate multiple values to form longer strings.,5188
23,SQL,Calculations,Relatively easy,List for each event the number of characters in its name.,4109
24,SQL,Calculations,Relatively easy,Use the CAST and CONVERT functions in SQL queries to control the data types of calculated columns.,5174
25,SQL,Calculations,Relatively easy,Use the IIF function and CASE expression to create calculated columns in a SQL query based on a list of music albums.,5178
26,SQL,Calculations,Relatively easy,Use the ISNULL function in SQL queries to convert nulls into meaningful values.,5183
27,SQL,Calculations,Average difficulty,Add calculated columns to a SQL query to work out the average length of songs in a list of albums.,5177
28,SQL,Calculations,Average difficulty,Cast numbers as text to allow you to concatenate them together with strings.,4110
29,SQL,Calculations,Average difficulty,Create calculated columns in SQL Server using the ISNULL function to handle nulls in the data.,5184
30,SQL,Calculations,Average difficulty,Use CASE expressions in SQL queries to categorise a list of venues based on different criteria.,5180
31,SQL,Calculations,Average difficulty,"Use IsNull, Coalesce and/or CASE WHEN to replace nulls with values.",4112
32,SQL,Calculations,Average difficulty,Use text functions in SQL queries to clean up messy text data.,5189
33,SQL,Calculations,Average difficulty,Write a CASE WHEN expression to assign countries to different groups.,4111
34,SQL,Calculations,Harder than average,Divide events according to whether their first/last letters are the same or vowels.,4115
35,SQL,Calculations,Harder than average,Use a variety of text functions in SQL queries to manipulate names and addresses of a list of venues.,5190
36,SQL,Calculations,Harder than average,Use CASE expressions in SQL queries to categorise a list of concerts by ticket sales and cancellations.,5182
37,SQL,Calculations,Harder than average,Use the % modulus operator and a lot of ingenuity to show how big each country is relative to Wales.,4114
38,SQL,Calculations,Harder than average,Use the CHARINDEX function multiple times to show the number of characters between two words in a text string.,4113
39,SQL,Calculations using dates,Relatively easy,"Combine the YEAR, CONVERT and FORMAT functions to show events in your year of birth.",4116
40,SQL,Calculations using dates,Relatively easy,Use SQL date functions to format the release dates of music albums in SQL queries.,5191
41,SQL,Calculations using dates,Average difficulty,Use date functions in SQL queries to calculate the length of concert tours.,5192
42,SQL,Calculations using dates,Average difficulty,Use the DATEDIFF and the ABS functions to list the events in order of closeness to when you were born.,4117
43,SQL,Calculations using dates,Average difficulty,Use the DATENAME and DATEPART functions to show events taking place on Friday 13th of any month/year.,4118
44,SQL,Calculations using dates,Harder than average,"Display full dates, including the correct suffix (1st, 2nd, 3rd, etc).",4119
45,SQL,Calculations using dates,Harder than average,Use date functions in SQL Server to calculate the lifespan of venues.,5193
46,SQL,Basic joins,Relatively easy,Create a query containing a join to list out those films whose source is NA.,4669
47,SQL,Basic joins,Relatively easy,"Create a query using the designer, joining 2 tables, then tidy it up and comment its SQL.",4120
48,SQL,Basic joins,Relatively easy,Use an inner join to link two tables together in a query.,4031
49,SQL,Basic joins,Relatively easy,Use the Query Designer in SQL Server Management Studio to join multiple tables in a database of music.,5194
50,SQL,Basic joins,Average difficulty,"Create an inner join in a query, then change it to an outer join to show categories having no events.",4121
51,SQL,Basic joins,Average difficulty,"Join two tables together in SQL, using alias table names.",4032
52,SQL,Basic joins,Average difficulty,"Link the continent, country and event tables with inner joins, and then filter by fields from 2 tables.",4122
53,SQL,Basic joins,Average difficulty,Use basic inner joins to list music albums and their genres before applying filters to the list.,5195
54,SQL,Basic joins,Average difficulty,Use inner joins to link four tables to show Dr Who enemies by author.,4033
55,SQL,Basic joins,Harder than average,Add joins to SQL queries to return values from multiple tables in a database of music.,5196
